initial_temp, cooling_multiple, temp_length, num_non_improve, kemeny_score
100,0.993,1000,3000,66.8
100,0.995,1000,2000,67.9
100,0.995,10000,3000,66.3
1000,0.991,10000,2000,69.1
1000,0.993,10000,3000,67.5
1000,0.996,10000,3000,64.4
1000,0.996,100000,1000,66.9
1000,0.998,10000,3000,65.8
1000,0.998,100000,3000,65.3
100000,0.992,100000,1000,68.9
100000,0.996,10000,1000,68.1
100000,0.996,10000,3000,65.4
100000,0.996,100000,3000,67.1
100000,0.997,10000,3000,66.0
100000,0.997,100000,3000,64.7
100000,0.998,10000,3000,64.4
1000000,0.99,100000,1000,70.3
1000000,0.994,10000,3000,67.1
1000000,0.994,100000,2000,68.7
1000000,0.995,100000,3000,69.0
10000000,0.994,10000,1000,68.8
10000000,0.996,10000,2000,66.7
10000000,0.996,100000,1000,66.2
10000000,0.996,100000,3000,65.2
100000000,0.993,100000,3000,66.5
100000000,0.995,10000,1000,72.7
100000000,0.997,100000,3000,66.9